Código,Nome,Quantidade,Unidade,Valor Unitário,Valor Total
82945,LEITE L VIDA ELEGE SEMIDESN 1l,2.0,L,4.79,9.58
1429305,LING TIPO CALAB PERDIGAO PCT kg,1.0,KG,18.98,18.98
430111,ARROZ BRA SUPER MAXIMO LF 5kg,1.0,KG,29.95,29.95
390,FEIJAO PRE COMBRASIL TP-1 1kg,1.0,KG,7.79,7.79
1691115,BISCOIT VIVALE MAIZENA 300g,1.0,g,5.35,5.35
1663761,LIMPADO YPE M USO ANTIBAC 500ml,1.0,ML,3.29,3.29
1065695,MACAR TODESCHINI SEM SPAGHT5 500g,1.0,G,3.75,3.75
1065749,MACAR TODESCHINI COV SPAG 5 500g,1.0,G,3.95,3.95
544757,OLEO DE SOJA SOYA PET 900ml,1.0,ml,5.89,5.89
415286,DETERGENTE YPE CLEAR CARE 500ml,1.0,ML,1.99,1.99
1563948,ESPONJA BELIEVE INOX un,1.0,un,6.25,6.25
165020,DETERGENTE YPE NEUTRO 500ml,1.0,ML,1.99,1.99
1500370,SACOLA PL ALPEDA VERDE 40X53 un,14.0,un,0.07,0.98
1341164,DETERGENTE YPE CAPIM LIMAO 500ml,1.0,ML,1.99,1.99
1613629,AVEIA ALLNUTRI EM FLOCOS TRAD 170g,1.0,G,3.38,3.38
1697261,ALCATRA SUI APRECIATTA TEMP RESF kg,0.942,KG,24.98,23.53
1289855,DESOD REXONA AER IMPACTO 150ml,1.0,ML,13.89,13.89
1895230,BATATA RUFFLES TUBO ORIGINAL 100g,1.0,G,11.35,11.35
1710953,ACHOCOL TODDY ORIGINAL POTE 370g,1.0,G,9.19,9.19
1629897,BEBIDA NATURES HEART CACAU 1l,1.0,L,16.99,16.99
858328,GEL MOC ITALIANINHA FRAMBOESA 220g,1.0,G,3.28,3.28
1312294,PAO FORMA SEVEN BOYS TRAD 450g,1.0,G,5.79,5.79
36689,ACUCAR UNIAO REFINADO 1kg,1.0,KG,4.29,4.29
1710991,BISCOIT PIRAQUE WAFER REC MOR 100g,1.0,G,2.49,2.49
1598858,REFRIGE PEPSI TWIST PET 200ml,1.0,ML,1.49,1.49
1915044,LEITE PO NINHO INT INST 380g PR10,1.0,G,15.29,15.29
1554625,BISCOIT PIRAQUE MALT COBERTO 80g,1.0,G,2.99,2.99
1808117,AMIDO DE MILHO MAIZENA L200 P150g,1.0,G,3.67,3.67
1443929,FILTRO PAPEL BRIGITTA 102 C30un,1.0,UN,2.9,2.9
1443936,FILTRO PAPEL BRIGITTA 103 C30un,1.0,UN,3.19,3.19
1536812,MOSTARDA PREDILECTA CLAS BISN 950g,1.0,G,11.89,11.89
1036282,SAB LIQ DOVE KARITE 250ml,1.0,ML,14.52,14.52
1535600,CREMOGEMA MORANGO 180g,1.0,G,6.59,6.59
1467734,CRE DEN COLGATE NAT EXT PUR 90g,1.0,G,9.49,9.49
1914498,DORITOS ELMA CHIPS SWEET CHILI 75g,1.0,G,8.5,8.5
1264975,GELEIA DEIVIRO MORANGO TP 220g,1.0,G,3.15,3.15
1699685,CEREAL KELLOGG S SKARCHITOS 240g,1.0,G,5.99,5.99
1650327,TOALHA PAPEL SCALA PLUS REG 2 ROL,1.0,PA,4.99,4.99
1908909,PAP HIG DUALETTE FOL DUP 30mL16P15,1.0,PA,16.98,16.98
1357196,CALDO MAGGI GALINHA MENOS SODIO 57g,1.0,G,1.79,1.79
1357202,CALDO MAGGI CARNE MENOS SODIO 57g,1.0,G,1.79,1.79
410861,SHAMPO PALMOLIVE NAT NEU LBAL350ml,1.0,ML,8.99,8.99
1455885,COND PALMOLIVE NAT DETOX 350ml,1.0,ML,10.5,10.5
1292510,IOG LIQ ITAMBE VITAMINA GF 1150g,1.0,G,11.99,11.99
1473766,CLORO BIG SOFT ATIVO 2l,1.0,L,5.99,5.99
1017076,CAFE 3 CORACOES TOR MOI ST PAC 500g,1.0,G,18.48,18.48
1778137,MOL CEPERA BOBS BURG  SALAD 200g,1.0,G,18.98,18.98
1842319,BISCOIT PIRAQUE MAIZENA 175g,2.0,G,2.98,5.96
1849424,BALA HARIBO GELATINA GOTINHAS 80g,1.0,G,4.99,4.99
880350,PIZZA SADIA CALABRESA 460g,1.0,G,11.9,11.9
215053,PIZZA SADIA MUC FRAN CATUPIRY 460g,1.0,G,11.9,11.9
1748901,"SORVETE NOBRELLI CREME 1,3l",1.0,L,16.9,16.9
30090,BISNAGUINHA PANCO 300g,1.0,G,8.99,8.99
49931,TORTA DE ABACAXI GUANABARA kg,0.27,KG,26.89,7.26
398657,MORTADELA PERDIGAO OURO BOLOG kg,0.22,KG,13.0,2.86
1298,SAL DOMESTICO CISNE 1kg,1.0,KG,3.19,3.19
1714890,IOG VIGOR GREGO FRUTAS VERM 90g,3.0,G,2.75,8.25
860031,BATATA PALHA CRAC TRAD 60g,1.0,G,3.29,3.29
165280,MACAR GALO SEMOLA PARAFUSO2 500g,1.0,G,4.59,4.59
1893083,FILE MIGNON BOV ANGLO CCORD PED kg,0.826,kg,39.98,33.02
473590,FEIJAO PRE COPA TP-1 1kg,1.0,KG,7.49,7.49
1914481,DORITOS ELMA CHIPS NACHO 75g,1.0,G,7.89,7.89
1709360,FAROFA BOM GOSTO CASEIRA TRAD 900g,1.0,G,18.9,18.9
36986,BISCOIT PIRAQUE SALG QUEIJO 100g,1.0,G,3.49,3.49
311410,QUE MUC TIROLEZ kg,0.244,KG,50.0,12.2
480611,AZEITONA VDE PRAMESA RECHEAD 190g,1.0,g,5.99,5.99
1713527,REFRIGE FANTA MARACUJA PET 2l,1.0,L,6.69,6.69
1686739,REFRESCO NAT ACEROLACAMP PET 250ml,1.0,ML,1.43,1.43
1820317,BEB LAC ITAMBE WHEY BAUN 250ml,2.0,ML,5.49,10.98
432306,BEBIDA GATORADE PET FRUT CIT 500ml,1.0,ML,5.29,5.29
7061,REFRIGE FANTA UVA PET 2l,1.0,L,5.29,5.29
