Código        ,Nome                     ,Quantidade ,Unidade ,Valor Unitário ,Valor Total
7899970402838 ,Barra Chocolate Hersheys ,     1.0   ,Un      ,          5.99 ,       5.99
            3 ,Queijo Mussarela kg      ,     0.314 ,Kg      ,         54.5  ,      17.11
          167 ,Tomate Graudo kg         ,     0.575 ,Kg      ,          2.85 ,       1.64
7896102501940 ,Molho Pronto Quero Parme ,     1.0   ,Un      ,          3.29 ,       3.29
7896010602111 ,Massa Cadore Semola500G  ,     1.0   ,Un      ,          3.99 ,       3.99
7896010602111 ,Massa Cadore Semola500G  ,     1.0   ,Un      ,          3.99 ,       3.99
7897559900379 ,Batata Palha Crac 90G    ,     1.0   ,Un      ,          5.99 ,       5.99
          113 ,Banana Prata kg          ,     1.22  ,Kg      ,          5.75 ,       7.02
7898953406023 ,Geleia de Mocoto 220G    ,     1.0   ,Un      ,          3.35 ,       3.35
7896024760654 ,Biscoito Wafer Piraque M ,     1.0   ,Un      ,          3.79 ,       3.79
7898953406023 ,Geleia de Mocoto 220G    ,     1.0   ,Un      ,          3.35 ,       3.35
7896183202187 ,Leite Integral Quata 1L  ,     1.0   ,Un      ,          5.39 ,       5.39
7896183202187 ,Leite Integral Quata 1L  ,     1.0   ,Un      ,          5.39 ,       5.39
7506339363883 ,Creme Dental Oral B 70G  ,     1.0   ,Un      ,          2.69 ,       2.69
7506339363883 ,Creme Dental Oral B 70G  ,     1.0   ,Un      ,          2.69 ,       2.69
7896102501940 ,Molho Pronto Quero Parme ,     1.0   ,Un      ,          3.29 ,       3.29
7898133290329 ,Manteiga Crioulo 200G    ,     1.0   ,Un      ,         12.9  ,      12.9
          320 ,Manga Tomy kg            ,     1.37  ,Kg      ,         10.5  ,      14.38
          500 ,Pao Frances kg           ,     0.275 ,Kg      ,          9.5  ,       2.61
          155 ,Ovos Brancos Cartela     ,     1.0   ,Un      ,         12.9  ,      12.9
7896859100632 ,Suco Imbiara Goiaba      ,     1.0   ,Un      ,          9.59 ,       9.59
7891097103230 ,Bebida Lactea Elege Sala ,     1.0   ,Un      ,         12.9  ,      12.9
7896859100618 ,Suco Imbiara de Caju     ,     1.0   ,Un      ,          6.98 ,       6.98
7896859100656 ,Suco Imbiara Manga 9     ,     1.0   ,Un      ,          9.59 ,       9.59
           29 ,Cha kg                   ,     0.63  ,Kg      ,         30.5  ,      19.22
7892840819170 ,Achocolatado Toddy Origi ,     1.0   ,Un      ,         22.8  ,      22.8
          102 ,Limao                    ,     0.425 ,Kg      ,          4.89 ,       2.08
          752 ,Laranja Pera kg          ,     1.105 ,Kg      ,          5.59 ,       6.18
          579 ,Sacolas Plastica  Und    ,     1.0   ,Un      ,          0.1  ,       0.1
          579 ,Sacolas Plastica  Und    ,     1.0   ,Un      ,          0.1  ,       0.1
          579 ,Sacolas Plastica  Und    ,     1.0   ,Un      ,          0.1  ,       0.1
          579 ,Sacolas Plastica  Und    ,     1.0   ,Un      ,          0.1  ,       0.1
          579 ,Sacolas Plastica  Und    ,     1.0   ,Un      ,          0.1  ,       0.1
